arrivalAirportCandidatesCount,callsign,departureAirportCandidatesCount,estArrivalAirport,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,estDepartureAirport,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,firstSeen,firstSeen_utc,icao24,lastSeen,lastSeen_utc
3,DLH6NL  ,30,EDDM,3050,10214,EPRJ,1009,202,1728533467,2024-10-10 04:11:07+00:00,3c4dd6,1728538151,2024-10-10 05:29:11+00:00
21,NSZ2030 ,30,ESSA,2672,186,EVRA,2531,347,1728536834,2024-10-10 05:07:14+00:00,4aca15,1728539743,2024-10-10 05:55:43+00:00
4,RYR2771 ,0,LIMC,1026,9778,,0,0,1728533157,2024-10-10 04:05:57+00:00,4d21ef,1728538053,2024-10-10 05:27:33+00:00
1,RYR2535 ,83,EPKK,1263,11036,EDDB,1581,241,1728534635,2024-10-10 04:30:35+00:00,4d228a,1728538236,2024-10-10 05:30:36+00:00
11,BTN700  ,0,VECC,800,17,,0,0,1728535176,2024-10-10 04:39:36+00:00,680009,1728537978,2024-10-10 05:26:18+00:00
0,UBG145  ,0,VGCB,25862,3151,VELP,202801,1974,1728536161,2024-10-10 04:56:01+00:00,7020b8,1728538045,2024-10-10 05:27:25+00:00
2,TGW281  ,0,WSAC,24231,3452,,0,0,1728531286,2024-10-10 03:34:46+00:00,76bcc7,1728537842,2024-10-10 05:24:02+00:00
35,LHO     ,35,YSBK,886,24,YSBK,891,24,1728538528,2024-10-10 05:35:28+00:00,7c38ba,1728538528,2024-10-10 05:35:28+00:00
85,NMU     ,84,YMEN,554,70,YMPC,556,65,1728537529,2024-10-10 05:18:49+00:00,7c4394,1728539554,2024-10-10 05:52:34+00:00
0,NQT     ,36,YPJI,24392,5212,YPJT,449,30,1728534647,2024-10-10 04:30:47+00:00,7c4423,1728537632,2024-10-10 05:20:32+00:00
36,PMA     ,31,YPJT,473,60,YBUN,196,46,1728535010,2024-10-10 04:36:50+00:00,7c4da0,1728538138,2024-10-10 05:28:58+00:00
9,AE969   ,35,YBTH,22463,2168,YSBK,234,8,1728538496,2024-10-10 05:34:56+00:00,7c4f1f,1728539786,2024-10-10 05:56:26+00:00
83,VBK     ,91,YMAV,1193,79,YBLT,3427,530,1728536503,2024-10-10 05:01:43+00:00,7c6a7e,1728538022,2024-10-10 05:27:02+00:00
83,VDJ     ,91,YMAV,795,71,YBLT,1481,584,1728538946,2024-10-10 05:42:26+00:00,7c6ac5,1728540257,2024-10-10 06:04:17+00:00
0,YVG     ,36,YPJI,8000,5486,YPJT,433,60,1728534554,2024-10-10 04:29:14+00:00,7c7c7a,1728537691,2024-10-10 05:21:31+00:00
11,AXB592  ,0,VECC,3390,33,,0,0,1728535457,2024-10-10 04:44:17+00:00,800c83,1728538216,2024-10-10 05:30:16+00:00
54,N149MF  ,74,KS03,16020,2275,KMFR,14138,1703,1728537646,2024-10-10 05:20:46+00:00,a0c538,1728538987,2024-10-10 05:43:07+00:00
181,ALFT6   ,153,KBFI,14246,82,KAWO,1884,231,1728539613,2024-10-10 05:53:33+00:00,ad438e,1728540517,2024-10-10 06:08:37+00:00
51,STALK50 ,51,KABQ,516,108,KE80,12943,573,1728536787,2024-10-10 05:06:27+00:00,ae5967,1728537920,2024-10-10 05:25:20+00:00
4,TAR753  ,18,DA14,13969,2702,LIRF,671,552,1728588704,2024-10-10 19:31:44+00:00,02a260,1728594178,2024-10-10 21:02:58+00:00
1,QTR8360 ,0,VMMC,9836,5785,,0,0,1728588462,2024-10-10 19:27:42+00:00,06a07f,1728594252,2024-10-10 21:04:12+00:00
0,DAH1081 ,53,,0,0,LFHC,8104,2094,1728588774,2024-10-10 19:32:54+00:00,0a007a,1728592816,2024-10-10 20:40:16+00:00
0,PBD6835 ,0,,0,0,,0,0,1728591564,2024-10-10 20:19:24+00:00,151e14,1728592816,2024-10-10 20:40:16+00:00
98,DLA2NF  ,28,EDMY,10847,2339,LIPY,12135,1951,1728590404,2024-10-10 20:00:04+00:00,30055b,1728592750,2024-10-10 20:39:10+00:00
5,DLA6PT  ,148,LILC,5400,3948,EDFE,8528,1025,1728590026,2024-10-10 19:53:46+00:00,3009b2,1728592826,2024-10-10 20:40:26+00:00
5,ITY221  ,117,LILN,6371,4419,EGLC,274,62,1728588626,2024-10-10 19:30:26+00:00,3009d5,1728593061,2024-10-10 20:44:21+00:00
0,IBE05VW ,29,,0,0,LEMD,8216,937,1728590802,2024-10-10 20:06:42+00:00,34324f,1728592745,2024-10-10 20:39:05+00:00
0,VLG6151 ,0,,0,0,,0,0,1728590647,2024-10-10 20:04:07+00:00,34440a,1728592745,2024-10-10 20:39:05+00:00
16,ANE46RJ ,149,LERM,14525,2256,EDDF,4818,148,1728589036,2024-10-10 19:37:16+00:00,3452c7,1728592745,2024-10-10 20:39:05+00:00
3,VOE20DL ,83,LSGY,9150,8093,EDDB,2832,180,1728589748,2024-10-10 19:49:08+00:00,34660d,1728592845,2024-10-10 20:40:45+00:00
12,AFR74VU ,91,LFIT,19922,2987,LFPG,1913,192,1728590112,2024-10-10 19:55:12+00:00,394c0f,1728592816,2024-10-10 20:40:16+00:00
5,TVF19YV ,0,LFFQ,13053,3214,,0,0,1728590031,2024-10-10 19:53:51+00:00,3964ec,1728592745,2024-10-10 20:39:05+00:00
3,AFR52QF ,0,LFHN,6064,8344,LFPV,11670,3753,1728590805,2024-10-10 20:06:45+00:00,398579,1728592844,2024-10-10 20:40:44+00:00
